Filename,Actual_Plate,Best_Predicted_Plate,Confidence,Suggestions_Count,Is_Exact_Match,Char_Accuracy_%
vehicle_0001.jpg,MH02BG9542,MH02BG9542,0.75,1,True,100.0
vehicle_0002.jpg,MH01AM7014,MH01AT7014,0.12,1,False,90.0
vehicle_0003.jpg,MH02EK4399,MH02EK4399,0.76,6,True,100.0
vehicle_0004.jpg,MH02DN8718,MH02DN8718,0.6,1,True,100.0
vehicle_0005.jpg,MH01AU0059,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0006.jpg,MH02ER9194,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0007.jpg,MH04CT3566,MH04CT3566,0.11,1,True,100.0
vehicle_0008.jpg,MH02EZ2599,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0009.jpg,MH03CP1328,MH3CR1328,0.37,1,False,80.0
vehicle_0010.jpg,MH02BQ9628,IO21BQ0626,0.19,1,False,40.0
vehicle_0011.jpg,MH01AL9693,GA1CHN0196,0.33,4,False,10.0
vehicle_0012.jpg,MH47Y1124,MH47Y1124,0.58,1,True,100.0
vehicle_0013.jpg,MH02BT6482,MH02BT6482,0.64,1,True,100.0
vehicle_0014.jpg,MH01CT9150,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0015.jpg,MH03AR7140,MH03AR7140,0.35,8,True,100.0
vehicle_0016.jpg,MH01DP5662,MH01DP5662,0.46,1,True,100.0
vehicle_0017.jpg,MH47AV6753,GA1NDV6753,0.59,3,False,50.0
vehicle_0018.jpg,MH02EK4399,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0019.jpg,MH02BG9542,MH02BG9542,0.91,1,True,100.0
vehicle_0020.jpg,MH47Y1124,MH47Y1124,0.77,1,True,100.0
vehicle_0021.jpg,MH02CD3654,MH02CD3654,0.19,1,True,100.0
vehicle_0022.jpg,MH04DW9020,MH04DW9020,0.53,1,True,100.0
vehicle_0023.jpg,MH02BQ9628,MH02BQ9628,0.21,5,True,100.0
vehicle_0024.jpg,MH02DJ8952,NO_PLATE_DETECTED,0.0,0,False,0.0
vehicle_0025.jpg,MH02MA5324,LA40ZM4532,0.21,2,False,40.0
